modesta	modest (not boastful)
kvartalo	quarter (of a city)
eminenta	distinguished, eminent, prominent
gluti	to swallow
enigmo	enigma, puzzle, riddle
kuglo	bullet
plenumi	to fulfil
eksperimento	experiment
instigi	to spur on, to encourage, to impel, to instigate, to urge
kreto	chalk
maldungi	to sack (employee)
putri	to rot, putrify
sistemo	system
bori	to bore, drill
plekti	to weave, to plait, to braid
verto	top of the head
ŝovi	to shove, to push
tedi	to be tedious
dekoracio	décor, decoration, theater set
bazaro	bazaar, fair, market, department store, mall
ilustri	to illustrate
listo	list
rampi	to crawl
akceli	to accelerate, advance, further, hasten, promote, speed up
kandelo	candle
betulo	birch (tree)
hoko	hook
orfo	orphan
abelo	bee
kanzono	chanson, song, ballad
komandi	to command (military and naval)
fendo	cleft, crack, crevice, rift, slit
pretendi	to make pretension to, to lay claim to
turmenti	torment
tegi	to cover, to put a covering upon
cerbo	brain
treni	to drag
kalendaro	calendar
krusto	crust
saŭco	sauce, gravy, dressing
avida	avid, eager, greedy
ĉeko	check
rosti	to roast
nenies	nobody's
animalo	animal (as opposed to vegetable or mineral)
frizi	to dress hair, to curl, friz, frizz (hair)
perfidi	to betray
provizo	provision, supply
plus	plus
garaĝo	garage (car); dock (boat); (train) siding
reklami	to advertise
trakti	to deal with, handle, treat
bankalsono	bathing suit, swimming trunks, swimsuit
fulgo	soot
afranki	to prepay, put on stamps, frank
krano	faucet, tap
idealo	ideal
insulti	to insult
golfo	gulf, bay; golf
funkcio	function (mathematics: one-to-one relation)
malneto	draft (of document)
trempi	to drench, to dip, to soak
aŭto	automobile, car
cedi	to cede, give in, yield, comply, concede, grant, accommodate
fonografo	record-player
oferi	to sacrifice, to offer
paŝti	to feed (cause to feed), to pasture
fondi	to found, to establish
rango	rank, grade, dignity
rezisti	to resist, to withstand
rato	rat
revi	to indulge in reverie, to daydream
komo	comma (punctuation)
konfirmi	to confirm, corroborate
kliento	client, customer
kilometro	kilometer
broŝuro	brochure, leaflet, pamphlet, paperback
diablo	devil
ĵurnalo	newspaper
kurteno	curtain
butiko	store, shop
advokato	advocate, barrister, counsel, intercessor, lawyer, solicitor, attorney
remi	to row
insisti	to insist
apetito	appetite
nodo	knot, node
komplezi	to oblige, do a favor for (tr)
distingi	to differentiate, discern, discriminate, distinguish, mark
kopii	to copy
avenuo	avenue
kopio	(a) copy
juvelo	jewel
pulvoro	powder
dediĉi	to consecrate, dedicate, devote, set aside, vow
pioĉo	pick-axe
konscienco	conscience
boato	boat, vessel, ship
tereno	terrain, grounds
neto	final copy
konkuri	to vie, compete
ĵuri	to take oath, to swear
konjekti	to surmise, conjecture, make guesses
inteligenta	intelligent
foiro	fair, market
prozo	prose
neniom	nothing at all, nothing
karesi	to caress
parfumo	perfume
boji	to bark (of dogs)
respubliko	republic
naiva	naive
bluzo	blouse
sorĉi	to bewitch
kemio	chemistry
segi	to saw
nadlo	needle
admoni	to admonish, advise, censure, exhort, scold, reprimand, tell off
kalsono	underpants, trunks
frambo	raspberry
kruĉo	pitcher, jug
anĝelo	angel
barakti	to struggle (against), writhe, wrestle, move convulsively, convulse, flounder
frizisto	(ladies) hairdresser
deficito	deficiency, deficit
sekso	sex
elefanto	elephant
koncerto	concert
instrumento	instrument
asekuri	to assure, insure, underwrite
influi	to have influence on
adjektivo	adjective
revuo	journal, review, magazine
mistero	mystery
ravi	to enchant
traktoro	tractor
ribeli	to rebel, to revolt
medikamento	medicine, medicament
delegi	to delegate
pinĉi	to pinch
ŝoforo	driver, chauffeur
destini	to assign, consign, designate, destine, dispose, earmark, ordain
flari	to smell
kontroli	to control, to inspect, to examine and check
teatro	a theater
kapitalo	capital (money)
biblioteko	library
leki	to lick
milimetro	millimeter
ebriulo	drunk person, drunk(ard)
mekanismo	mechanism
mamulo	mammal
plumbo	lead (metal)
krado	grating, grate, lattice
peniko	paintbrush
impreso	impression
flirti	to flutter; stream; flit; flirt
imposto	tax, impost
fosto	pole, stanchion, stake, post
kitelo	smock, overalls
oficiala	official
tendo	tent
ĉagreni	to aggravate, annoy, distress, vex, worry, grieve
sufoki	to suffocate
penetri	to penetrate
kontrakti	to contract, agree
komisii	to entrust with, to put in charge of, to give the agency for
paĉjo	dad, daddy, pop, popa
kordo	cord, string
ekvilibro	equilibrium
pruvi	to prove, to give proof of
sobra	abstemious, staid, sober, temperate
felo	fur, hide, skin, pelt
farbo	dye, paint
ekonomio	economy
paŭzi	to take a break, to pause, to take a rest
he	hey!
konfiti	to preserve with sugar
silko	silk
bulvardo	boulevard
inĝeniero	engineer
Pasko	Easter
pozicio	position
probabla	probable
pumpi	to pump
simio	monkey
fervora	zealous, fervent
ŝraŭbilo	screwdriver
baki	to bake, cook in an oven
aboni	to have a subscription, subscribe to
festeni	to feast, have a party, attend a party
olivo	olive
ŝtofo	cloth, material
sprita	witty
miliardo	billion, 10^9
mapo	map
rezervi	to reserve
lameno	lamina, plate, layer
